facility_id,location,cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning,hygiene_risk
F144,Suburbs,62.0,6.2,High,10,550,21,1
F145,Uptown,80.5,2.4,Low,2,1250,4,0
F146,Downtown,41.5,9.0,Critical,27,290,49,1
F147,Suburbs,74.5,4.1,Medium,5,780,12,0
F148,Uptown,53.5,7.0,High,13,880,27,1
F149,Downtown,88.5,1.9,Low,1,1420,3,0
F150,Suburbs,49.5,8.4,Critical,22,360,43,1
F151,Uptown,83.5,2.6,Low,2,1380,5,0
F152,Downtown,64.0,5.5,Medium,7,1020,17,1
F153,Suburbs,93.0,0.7,Low,0,1850,1,0
F154,Uptown,51.0,7.6,High,15,690,30,1
F155,Downtown,78.0,3.2,Medium,3,1320,8,0
F156,Suburbs,44.5,8.6,Critical,21,430,41,1
F157,Uptown,89.0,1.3,Low,1,1520,2,0
F158,Downtown,58.5,6.5,High,12,610,24,1
F159,Suburbs,71.5,4.4,Medium,5,890,13,0
F160,Uptown,39.5,9.2,Critical,28,270,52,1
F161,Downtown,84.5,2.0,Low,1,1280,4,0
F162,Suburbs,67.0,5.9,High,9,760,19,1
F163,Uptown,91.5,1.0,Low,0,1720,2,0
F164,Downtown,55.5,7.3,High,14,700,28,1
F165,Suburbs,79.5,3.7,Medium,4,1050,10,0
F166,Uptown,48.5,8.5,Critical,23,380,44,1
F167,Downtown,87.0,1.6,Low,1,1480,3,0
F168,Suburbs,60.5,6.6,High,12,630,25,1
F169,Uptown,75.5,4.0,Medium,5,1120,12,0
F170,Downtown,43.5,8.9,Critical,25,320,47,1
F171,Suburbs,86.0,2.3,Low,2,1180,5,0
F172,Uptown,57.5,7.1,High,13,810,26,1
F173,Downtown,89.0,1.2,Low,0,1650,2,0
F174,Suburbs,52.0,7.9,High,16,590,33,1
F175,Uptown,73.0,4.3,Medium,5,980,11,0
F176,Downtown,46.0,8.7,Critical,22,340,39,1
F177,Suburbs,82.5,2.8,Low,1,1080,4,0
F178,Uptown,63.5,6.1,High,10,740,20,1
F179,Downtown,95.5,0.4,Low,0,1900,1,0
F180,Suburbs,50.5,8.1,Critical,20,410,37,1
F181,Uptown,77.0,3.9,Medium,4,1200,9,0
F182,Downtown,59.0,7.5,High,14,670,29,1
F183,Suburbs,88.5,1.5,Low,1,1500,3,0
F184,Uptown,45.5,9.0,Critical,24,300,46,1
F185,Downtown,69.5,4.7,Medium,6,1000,14,0
F186,Suburbs,56.0,6.8,High,11,730,24,1
F187,Uptown,92.0,0.9,Low,0,1780,2,0
F188,Downtown,48.0,8.3,Critical,19,370,40,1
F189,Suburbs,80.0,3.1,Medium,3,920,8,0
F190,Uptown,53.0,7.7,High,15,850,31,1
F191,Downtown,85.0,2.0,Low,1,1350,4,0
F192,Suburbs,61.0,6.5,High,12,620,26,1
F193,Uptown,90.5,1.1,Low,0,1600,2,0
F194,Downtown,42.5,9.1,Critical,26,280,51,1
F195,Suburbs,76.5,3.9,Medium,5,840,11,0
F196,Uptown,58.0,7.3,High,14,780,28,1
F197,Downtown,93.5,0.6,Low,0,1850,1,0
F198,Suburbs,47.5,8.8,Critical,23,390,44,1
F199,Uptown,81.5,2.5,Low,2,1270,5,0
F200,Downtown,66.5,5.6,Medium,8,960,16,1
F201,Suburbs,87.0,1.9,Low,1,1100,4,0
F202,Uptown,54.5,7.0,High,13,820,27,1
F203,Downtown,79.0,3.5,Medium,4,1300,10,0
F204,Suburbs,44.0,8.6,Critical,21,350,42,1
F205,Uptown,89.5,1.0,Low,0,1550,2,0
F206,Downtown,57.0,6.9,High,12,680,25,1
F207,Suburbs,74.0,4.2,Medium,5,900,12,0
F208,Uptown,49.0,8.4,Critical,20,400,38,1
F209,Downtown,83.0,2.7,Low,2,1400,5,0
F210,Suburbs,63.5,6.3,High,10,650,22,1
F211,Uptown,96.0,0.3,Low,0,1950,1,0
F212,Downtown,52.5,7.8,High,15,600,30,1
F213,Suburbs,78.5,3.8,Medium,4,1000,9,0
F214,Uptown,40.5,9.0,Critical,25,300,48,1
F215,Downtown,86.5,1.7,Low,1,1450,3,0
F216,Suburbs,55.0,7.2,High,13,710,27,1
F217,Uptown,72.5,4.5,Medium,5,1150,13,0
F218,Downtown,45.0,8.7,Critical,22,330,41,1
F219,Suburbs,91.0,0.8,Low,0,1750,2,0
F220,Uptown,59.0,6.7,High,12,790,24,1
